uid,title,path,word_count,num_concepts,num_potential_apis,avg_api_confidence,opportunity_score,concepts
113142,Built-in Controllers and Actions in Extra Modules,data\raw_md\articles\ui-construction\controllers-and-actions\built-in-controllers-and-actions\built-in-controllers-and-actions-in-extra-modules.md,3917,35,14004,0.6857469294487288,43214.399999999994,"Tree List, Reference Property, Conditional Appearance, Blazor UI, Views"
404691,General Security Considerations,data\raw_md\articles\security-considerations\general-security-considerations.md,2826,33,12676,0.6883007257810033,37517.07,"Blazor UI, Testing, Audit Trail, Views, Security System"
116516,Non-Persistent Objects,data\raw_md\articles\business-model-design-orm\non-persistent-objects.md,1543,28,13553,0.6865491035195159,35358.24,"Object Space Provider, Reference Property, Conditional Appearance, Blazor UI, Views"
118046,Modules,data\raw_md\articles\app-shell-and-base-infrastructure\application-solution-components\modules.md,1051,30,12120,0.6838613861386138,33153.6,"Conditional Appearance, PivotGrid, Tenant, Model Nodes, Blazor UI"
113141,Built-in Controllers and Actions in the System Module,data\raw_md\articles\ui-construction\controllers-and-actions\built-in-controllers-and-actions\built-in-controllers-and-actions-in-the-system-module.md,5547,27,12924,0.6868229650263077,32843.05,"Reference Property, Model Nodes, Blazor UI, Views, Testing"
403277,Frequently Asked Questions - Blazor UI (FAQ),data\raw_md\articles\support-qa-troubleshooting\frequently-asked-questions-blazor-faq.md,1297,29,11188,0.6846353235609581,29872.83,"Dependency Injection, Tenant, Blazor UI, Views, Testing"
113054,Frequently Asked Questions (FAQ),data\raw_md\articles\support-qa-troubleshooting\frequently-asked-questions-faq.md,977,26,12130,0.6837757625721352,29859.120000000003,"Reference Property, Conditional Appearance, Views, Security System, Lookup View"
113472,Add a Security Operation that Can be Permitted or Denied for a Specific Type,data\raw_md\articles\data-security-and-safety\security-system\security-object-model\implement-custom-security-objects\implement-a-custom-security-operation-that-can-be-permitted-at-the-type-level.md,765,23,12843,0.6869500895429416,29114.249999999996,"Blazor UI, Views, Security System, Permission Policies, WinForms"
404967,.NET CLI Integration,data\raw_md\articles\installation-upgrade-version-history\dotnet-cli-integration.md,1055,32,9763,0.6874833555259653,28189.979999999996,"Tree List, Charts, Conditional Appearance, PivotGrid, Model Nodes"
113286,Conditional Appearance (Manage UI State),data\raw_md\articles\conditional-appearance.md,1150,22,12564,0.682696593441579,27447.679999999993,"Reference Property, Conditional Appearance, Blazor UI, Views, Security System"
112559,Plug-in MVC Architecture,data\raw_md\articles\overview\architecture.md,1152,23,12054,0.6839804214368673,27207.51,"Charts, Blazor UI, Views, Database Connection, WinForms"
112916,How to: Implement a Singleton Business Object and Show its Detail View,data\raw_md\articles\ui-construction\views\ways-to-show-a-view\how-to-implement-a-singleton-business-object-and-show-its-detail-view.md,355,19,12126,0.6892215075045357,24236.750000000004,"Blazor UI, Views, Window Controller, Validation, WinForms"
113238,Deployment Troubleshooting Guide,data\raw_md\articles\deployment\deployment-troubleshooting-guide.md,2967,22,10837,0.6854941404447725,23771.84,"Model Nodes, Blazor UI, Views, Database Connection, Performance Optimization"
112836,TreeList Editors Module Overview,data\raw_md\articles\app-shell-and-base-infrastructure\tree-list-editors\tree-list-editors-module-overview.md,1231,21,11189,0.6827598534274734,23682.14,"Tree List, Reference Property, Blazor UI, Views, Performance Optimization"
404186,Why We Recommend EF Core over XPO for New Development,data\raw_md\articles\why-we-recommend-ef-core-over-xpo.md,1758,26,9398,0.6901894020004256,23351.04,"Conditional Appearance, Model Nodes, Blazor UI, Audit Trail, Views"
112580,How the XAF Application Model Works,data\raw_md\articles\ui-construction\application-model-ui-settings-storage\how-application-model-works.md,1316,21,10942,0.682352403582526,23145.530000000002,"Model Nodes, Blazor UI, Views, Security System, WinForms"
113572,"Reference (Foreign Key, Complex Type) Properties",data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\reference-foreign-key-complex-type-properties.md,1484,19,11517,0.682877485456282,22807.63,"Reference Property, Model Nodes, Blazor UI, Views, Lookup View"
404633,"Type, Object and Member Permissions",data\raw_md\articles\data-security-and-safety\security-system\security-object-model\type-object-and-member-permissions.md,900,20,10781,0.6849364622947778,22152.899999999998,"Conditional Appearance, Blazor UI, Views, Security System, Permission Policies"
113374,How to: Customize the Conditional Appearance Module Behavior,data\raw_md\articles\conditional-appearance\how-to-customize-the-conditional-appearance-module-behavior.md,788,19,11137,0.6848702523121127,22119.460000000003,"Conditional Appearance, Blazor UI, Views, WinForms, Modules"
113251,Declare Validation Rules,data\raw_md\articles\validation\declare-validation-rules.md,1012,18,11473,0.6854615183474243,22020.039999999997,"List View, .NET Runtime, Object Space, Controllers, Entity Framework Core"
112621,Controllers (UI Logic & Interaction),data\raw_md\articles\ui-construction\controllers-and-actions\controllers.md,1203,19,10955,0.68407120036513,21732.6,"Dependency Injection, Blazor UI, Views, Window Controller, Validation"
112818,"Determine Why an Action, Controller or Editor is Inactive",data\raw_md\articles\ui-construction\controllers-and-actions\determine-why-an-action-controller-or-editor-is-inactive.md,1490,18,11248,0.6889580369843528,21698.319999999996,"Security System, Simple Action, .NET Runtime, Dialog Controller, List View"
113583,Use Metadata to Customize Business Classes Dynamically,data\raw_md\articles\business-model-design-orm\types-info-subsystem\use-metadata-to-customize-business-classes-dynamically.md,1037,18,11205,0.6845604640785363,21477.399999999998,"Security System, Object Space Provider, List View, .NET Runtime, Controllers"
405693,Remove .NET Framework (WinForms / ASP.NET Web Forms) & Legacy .NET API,data\raw_md\articles\migration-from-net-framework-in-v-25-2.md,2270,26,8493,0.6896738490521606,21086.64,"Tenant, Blazor UI, Testing, Security System, Multi-Tenancy"
113672,How to: Add a Custom Column to the Reports List,data\raw_md\articles\shape-export-print-data\reports\task-based-help\how-to-add-a-custom-column-to-the-reports-list.md,387,17,11351,0.6843714210201743,20974.41,"List View, .NET Runtime, Controllers, Entity Framework Core, Detail View"
402956,Localize an XAF Application (.NET),data\raw_md\articles\localization\localize-an-xaf-application.md,1245,19,10395,0.6851082251082251,20652.93,"Blazor UI, Views, Scheduler, WinForms, Modules"
113011,View Variants (Switch Document Layouts),data\raw_md\articles\app-shell-and-base-infrastructure\view-variants-module.md,809,17,11008,0.682748909883721,20292.39,"List View, .NET Runtime, Controllers, Detail View, Navigation"
113564,Criteria Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\criteria-properties.md,705,16,11266,0.6897745428723593,20204.600000000002,"Criteria, .NET Runtime, Controllers, Entity Framework Core, Detail View"
112924,How to: Filter a Link Dialog's List View,data\raw_md\articles\filtering\in-list-view\how-to-filter-a-link-dialogs-list-view.md,283,16,11261,0.6874611490986591,20127.9,"Criteria, Lookup View, List View, .NET Runtime, Object Space"
113117,User Authentication using a Logon Window in Windows Forms Applications,data\raw_md\articles\app-shell-and-base-infrastructure\application-life-cycle\windows-forms-application-life-cycle\user-authentication-using-a-logon-window-in-windows-forms-applications.md,2104,18,10444,0.6868441210264267,20085.52,"Window Controller, Security System, Dialog Controller, Logging, Authentication"
112654,Relationships Between Persistent Objects in Code and UI,data\raw_md\articles\business-model-design-orm\business-model-design-with-xpo\relationships-between-persistent-objects-in-code-and-ui.md,774,17,10819,0.68722617617155,20074.77,"Tree List, Security System, List View, Collection Property, Object Space"
