doc_id,doc_type,uid,title,section_id,h_path,num_code_blocks,first_code_preview
data/raw_md/articles/analytics/chart-module,,113302,Chart Module,articles/analytics/chart-module::8,Chart Module Components > Chart List Editors > Configure Chart > ASP.NET Core Blazor,1,@using DevExpress.Blazor @using DevExpress.ExpressApp @using DevExpress.ExpressApp.Blazor.Editors @using DevExpress.ExpressApp.Utils @using MainDemo.Module.BusinessObjects @using System.Linq.Expressio
data/raw_md/articles/analytics/chart-module,,113302,Chart Module,articles/analytics/chart-module::13,Chart Module Components > Chart List Editors > Configure Chart > ASP.NET Core Blazor > Windows Forms > Chart Customization in a View Controller > ASP.NET Core Blazor,1,using DevExpress.ExpressApp; using DevExpress.ExpressApp.Actions; using DevExpress.ExpressApp.Blazor.Editors; using DevExpress.ExpressApp.Blazor.SystemModule; using DevExpress.ExpressApp.Utils; using 
data/raw_md/articles/analytics/chart-module,,113302,Chart Module,articles/analytics/chart-module::15,Chart Module Components > Chart List Editors > Configure Chart > ASP.NET Core Blazor > Windows Forms > Chart Customization in a View Controller > ASP.NET Core Blazor > Windows Forms,1,using System; using DevExpress.ExpressApp; using DevExpress.ExpressApp.Chart.Win; using DevExpress.XtraCharts;  namespace YourSolutionName.Win.Controllers;  public class MyWinController : ViewControll
data/raw_md/articles/app-shell-and-base-infrastructure/blazor-application-appearance,,403068,ASP.NET Core Blazor Application Appearance,articles/app-shell-and-base-infrastructure/blazor-application-appearance::4,"uid: ""403068""title: 'ASP.NET Core Blazor Application Appearance' > DevExpress Themes > Theme Switcher",1,"""DevExpress"": {   ""ExpressApp"": {     ""Languages"": ""en-US;"",     ""ShowLanguageSwitcher"": false,     ""Security"": {       // ...     },     ""ThemeSwitcher"": {       ""DefaultItemName"": ""DevExpress Fluent"
data/raw_md/articles/app-shell-and-base-infrastructure/blazor-application-appearance,,403068,ASP.NET Core Blazor Application Appearance,articles/app-shell-and-base-infrastructure/blazor-application-appearance::9,"uid: ""403068""title: 'ASP.NET Core Blazor Application Appearance' > DevExpress Themes > External Bootstrap Themes",1,"""DevExpress"": {   ""ExpressApp"": {     //...     ""ThemeSwitcher"": {       ""DefaultItemName"": ""DevExpress Fluent"",       ""ShowSizeModeSwitcher"": true,       ""Groups"": [         {           ""Caption"": ""D"
data/raw_md/articles/app-shell-and-base-infrastructure/blazor-application-appearance,,403068,ASP.NET Core Blazor Application Appearance,articles/app-shell-and-base-infrastructure/blazor-application-appearance::13,"uid: ""403068""title: 'ASP.NET Core Blazor Application Appearance' > DevExpress Themes > External Bootstrap Themes > Switch Themes in Code > Custom Stylesheets",1,"// ... {    ""Caption"": ""Blazing Berry"",   ""Url"": ""_content/DevExpress.Blazor.Themes/blazing-berry.bs5.min.css"",   ""Color"": ""#5c2d91"",   // The collection of stylesheets used with the theme.   ""CustomU"
data/raw_md/articles/app-shell-and-base-infrastructure/blazor-application-appearance,,403068,ASP.NET Core Blazor Application Appearance,articles/app-shell-and-base-infrastructure/blazor-application-appearance::16,"uid: ""403068""title: 'ASP.NET Core Blazor Application Appearance' > DevExpress Themes > Theme Switcher > Disable the Theme Switcher > External Bootstrap Themes > Switch Themes in Code > Custom Stylesheets > Size Mode > Hide Size Mode Switcher",1,"// ... ""ThemeSwitcher"": {   // ""ShowSizeModeSwitcher"": true,   // ... "
data/raw_md/articles/backend-web-api-service/access-localization-from-web-api-controller,,403982,Obtain Localization Strings from a Web API Controller Endpoint,articles/backend-web-api-service/access-localization-from-web-api-controller::6,Localization Controller > Localization Controller API > Example,1,"var customRequest = new HttpRequestMessage(HttpMethod.Get, $""api/Localization/LocalizedText?groupPath={groupPath}&itemName={itemName}"");  customRequest.Headers.Add(""Accept-Language"", ""en"");  var respo"
data/raw_md/articles/backend-web-api-service/access-localization-from-web-api-controller,,403982,Obtain Localization Strings from a Web API Controller Endpoint,articles/backend-web-api-service/access-localization-from-web-api-controller::8,Localization Controller > Add Unit Tests for Localization Controller,1,using System.Net.Http; using System.Threading.Tasks; using Microsoft.AspNetCore.Mvc.Testing; using Xunit; public class LocalizationUnitTests     : IClassFixture<WebApplicationFactory<MySolution.Blazor
data/raw_md/articles/backend-web-api-service/add-business-object-method-endpoints,,404488,Add Endpoints for Business Object Methods,articles/backend-web-api-service/add-business-object-method-endpoints::10,Enable Automatic Generation of Endpoints for Action Methods > Change the Endpoint Base Path > Hide Action Methods from Web API,1,services.AddXafWebApi(builder => {     builder.ConfigureOptions(options => {         // ...         options.ConfigureBusinessObjectActionEndpoints(options => {             // ...             options.M
